rainning,raining
raning,raining
writtings,writings
yello,yellow
fours,four
for,four
woodes,woods
agression,aggression
loking,looking
locking,looking
looing,looking
lookin,looking
eligble,eligible
eligable,eligible
electrisity,electricity
electricty,electricity
electrizity,electricity
schold,scold
skold,scold
adabtable,adaptable
canned,caned
cained,caned
imature,immature
shouldnt,shouldn't
swival,swivel
apropriation,appropriation
furr,fur
fer,fur
stabed,stabbed
desturb,disturb
recolections,recollections
prise,prize
prizer,prize
wedensday,wednesday
sucession,succession
succesion,succession
stright,straight
increented,incremented
pluse,pulse
secand,second
secund,second
seconnd,second
seond,second
jam_jar,jamjar
saled,sailed
saild,sailed
thounder,thunder
coking,cooking
kooking,cooking
cocking,cooking
fosscil,fossil
incresing,increasing
increacing,increasing
incressing,increasing
inceasing,increasing
increesing,increasing
increaseng,increasing
encreasing,increasing
incriasing,increasing
increaseing,increasing
heroe,hero
dael,dahl
repoter,reporter
reportor,reporter
reproter,reporter
reoporter,reporter
interupting,interrupting
hare,here
her,here
there,here
herre,here
heere,here
hera,here
herd,here
heer,here
hree,here
hire,here
atom,atoms
tape_recorded,tape-recorded
shreik,shriek
substace,substance
elaberate,elaborate
climed,climbed
reoprts,reports
controversey,controversy
controvercy,controversy
contriversy,controversy
countroversy,controversy
contraversy,controversy
constroversy,controversy
controvery,controversy
controvesy,controversy
controversay,controversy
contreversy,controversy
eitiology,etiology
showing,snowing
millitary,military
milatary,military
militery,military
cansellation,cancellation
cancallation,cancellation
canacellation,cancellation
cancillation,cancellation
cancealation,cancellation
cancelation,cancellation
criticisim,criticism
criticisam,criticism
critiscism,criticism
critigism,criticism
griticism,criticism
critisism,criticism
criticiam,criticism
criticise,criticism
criticisum,criticism
criticisms,criticism
criticisem,criticism
critizism,criticism
criticsm,criticism
critcism,criticism
criticizm,criticism
goldin,golden
gloden,golden
sinse,sines
devide,divide
divid,divide
substracts,subtracts
sweetes,sweetest
explainded,explained
explanned,explained
explaind,explained
eplained,explained
explaned,explained
broght,brought
brough,brought
brougth,brought
bought,brought
sizable,sizeable
spok,spoke
muic,music
telagraph,telegraph
stricke,strike
untill,until
untl,until
wholy,holy
holly,holy
holey,holy
sucsessful,successful
successfull,successful
sucessful,successful
successeful,successful
suxcessful,successful
suckessful,successful
successfuly,successful
succesful,successful
succeshful,successful
succsessful,successful
succsesful,successful
hert,hurt
glas,glass
glars,glass
reversable,reversible
hol,hole
hold,hole
hod,hold
holed,hold
circumstaces,circumstances
lockEd,locked
lockd,locked
persue,pursue
acomplishment,accomplishment
apolegetics,apologetics
loker,locker
exemple,example
exmaple,example
exsample,example
exmple,example
artillary,artillery
orginized,organized
causion,caution
wont,want
wants,want
mant,want
whant,want
wand,want
watn,want
wnat,want
went,want
wat,want
preferrably,preferably
hag,hog
how,hoe
ho,hoe
travle,travel
travell,travel
damaged,damage
damadge,damage
damge,damage
Damage,damage
dammage,damage
damuge,damage
damaze,damage
danage,damage
damnage,damage
machane,machine
matchine,machine
macine,machine
machiene,machine
mechine,machine
mashine,machine
manchine,machine
macheine,machine
hou,how
haw,how
thot,hot
hoot,hot
hote,hot
hat,hot
hope,hop
preferrable,preferable
beuty,beauty
oulawed,outlawed
wrang,wrong
wronge,wrong
rong,wrong
wong,wrong
worng,wrong
